RS1_PR1_LED,A1001
RS1_PR2_LED,A1002
RS1_SRCH_SET_LED,A1003
RS1_PERMITTED_ACCESS_LED,A1005
RS1_NO_ACCESS_LED,A1006
RS1_AV_WARN,A1004
RS1_RSY_SEARCHED_LED,A1007
KYBNK_S_REL,A1008
RT1_PR2_KSW_LED,A1010
RT1_SRCH_SET_LED,A1011
RT1_PERMITTED_ACCESS_LED,A1301
RT1_NO_ACCESS_LED,A1302
RT1_AV_WARN,A1303
RT1_PR1_KSW_LED,A1009
RS2_PR1_LED,A1012
RS2_PR2_LED,A1013
RS2_SRCH_SET_LED,A1014
RS2_PERMITTED_ACCESS_LED,A1304
RS2_NO_ACCESS_LED,A1305
RS2_AV_WARN,A1306
RS2_406_PR1_LED,A1102
RS2_406_PR2_LED,A1103
RS2_406_PRSVD_SRCH_LED,A1104
RS2_406_AV_WARN,A1307
RS2_407_PR1_LED,A1105
RS2_407_PR2_LED,A1106
RS2_407_AV_WARN,A1308
RS2_407_PRSVD_SRCH_LED,A1107
RS3_PR1_LED,A1108
RS3_PR2_LED,A1109
RS3_SRCH_SET_LED,A1110
RS3_PERMITTED_ACCESS_LED,A1016
RS3_NO_ACCESS_LED,A1101
RS3_AV_WARN,A1015
RS3_911_PR1_LED,A1111
RS3_911_PR2_LED,A1112
RS3_911_PRSVD_SRCH_LED,A1113
RS3_911_AV_WARN,A1204
RSY_SECURE,A1216
RSY_SECURITY_VIOLATION,A1114
RS4_912_PR1_LED,A1115
RS4_912_PR2_LED,A1116
RS4_912_PRSVD_SRCH_LED,A1201
RS4_912_AV_WARN,A1309
RS4_PR2_LED,A1202
RS4_SRCH_SET_LED,A1203
RS4_PERMITTED_ACCESS_LED,A1205
RS4_NO_ACCESS_LED,A1206
RS4_AV_WARN,A1316
RS4_PR1_LED,A1207
RS5_913_PR1_LED,A1208
RS5_913_PR2_LED,A1209
RS5_913_PRSVD_SRCH_LED,A1210
RS5_913_AV_WARN,A1310
RS5_PR2_LED,A1211
RS5_SRCH_SET_LED,A1212
RS5_PERMITTED_ACCESS_LED,A1311
RS5_NO_ACCESS_LED,A1312
RS5_AV_WARN,A1313
RSY_PERM_LED,A1314
RSY_SRCHD_LED,A1213
RSY_NO_LED,A1315
KYBNK_N_REL,A1214
RS5_PR1_LED,A1215